epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4006.24,1.36166,1.57004,1.31509,0.64329,0.47563,0.53075,0.28954,1.55,1.72408,1.45722,0.000665974,0.000665974,0.000665974
2,8073.76,1.54407,1.4938,1.45976,0.64737,0.47401,0.54108,0.30228,1.51763,1.42628,1.44595,0.00120071,0.00120071,0.00120071
3,12300.4,1.52679,1.44795,1.45344,0.65894,0.48218,0.55137,0.31869,1.502,1.40514,1.43345,0.00160344,0.00160344,0.00160344
4,16560.7,1.46926,1.36695,1.41522,0.68528,0.51257,0.58845,0.3475,1.41353,1.30907,1.36561,0.001406,0.001406,0.001406
5,20760,1.40244,1.27849,1.36751,0.71372,0.5361,0.61617,0.37392,1.33988,1.21112,1.32125,0.001208,0.001208,0.001208
6,25003.6,1.34258,1.20213,1.32925,0.72667,0.54537,0.63756,0.39699,1.30926,1.13119,1.28944,0.00101,0.00101,0.00101
7,29208,1.30285,1.14618,1.30159,0.73813,0.56183,0.65896,0.41602,1.26357,1.07931,1.26022,0.000812,0.000812,0.000812
8,33542.5,1.25644,1.08708,1.27043,0.76274,0.5766,0.67824,0.43541,1.22896,1.02729,1.22792,0.000614,0.000614,0.000614
9,37830.7,1.21539,1.03624,1.24305,0.76219,0.59099,0.68934,0.44658,1.19505,0.98569,1.21481,0.000416,0.000416,0.000416
10,41948.9,1.1764,0.98411,1.21609,0.7623,0.60356,0.69768,0.45785,1.16951,0.95692,1.19141,0.000218,0.000218,0.000218
